Province,year,Total_crimes
    Araba/Álava,2023,8250.0
    Albacete,2023,9705.0
    Alicante/Alacant,2023,71457.0
    Almería,2023,21799.0
    Ávila,2023,3076.0
    Badajoz,2023,14072.0
    Balears (Illes),2023,53162.0
    Barcelona,2023,295769.0
    Burgos,2023,8028.0
    Cáceres,2023,5829.0
    Cádiz,2023,36317.0
    Castellón/Castelló,2023,20384.0
    Ciudad Real,2023,9111.0
    Córdoba,2023,19289.0
    Coruña (A),2023,25580.0
    Cuenca,2023,4455.0
    Girona,2023,32381.0
    Granada,2023,23537.0
    Guadalajara,2023,6949.0
    Gipuzkoa,2023,19425.0
    Huelva,2023,16221.0
    Huesca,2023,4598.0
    Jaén,2023,11146.0
    León,2023,9452.0
    Lleida,2023,12667.0
    Rioja (La),2023,7823.0
    Lugo,2023,5306.0
    Madrid,2023,276717.0
    Málaga,2023,64309.0
    Murcia,2023,52106.0
    Navarra,2023,19385.0
    Ourense,2023,5765.0
    Asturias,2023,19612.0
    Palencia,2023,2413.0
    Palmas (Las),2023,34857.0
    Pontevedra,2023,18713.0
    Salamanca,2023,7107.0
    Santa Cruz de Tenerife,2023,32081.0
    Cantabria,2023,14699.0
    Segovia,2023,2843.0
    Sevilla,2023,75133.0
    Soria,2023,1683.0
    Tarragona,2023,31899.0
    Teruel,2023,1862.0
    Toledo,2023,18620.0
    Valencia/València,2023,110283.0
    Valladolid,2023,10311.0
    Bizkaia,2023,37028.0
    Zamora,2023,2772.0
    Zaragoza,2023,24553.0
    Ceuta,2023,2043.0
    Melilla,2023,2876.0
    Araba/Álava,2022,8059.0
    Albacete,2022,9307.0
    Alicante/Alacant,2022,63483.0
    Almería,2022,20129.0
    Ávila,2022,2618.0
    Badajoz,2022,12508.0
    Balears (Illes),2022,53417.0
    Barcelona,2022,288419.0
    Burgos,2022,7632.0
    Cáceres,2022,5586.0
    Cádiz,2022,33847.0
    Castellón/Castelló,2022,18343.0
    Ciudad Real,2022,9223.0
    Córdoba,2022,16900.0
    Coruña (A),2022,24489.0
    Cuenca,2022,4092.0
    Girona,2022,34632.0
    Granada,2022,21602.0
    Guadalajara,2022,6723.0
    Gipuzkoa,2022,18369.0
    Huelva,2022,15500.0
    Huesca,2022,4067.0
    Jaén,2022,10703.0
    León,2022,8779.0
    Lleida,2022,13588.0
    Rioja (La),2022,7306.0
    Lugo,2022,4044.0
    Madrid,2022,278663.0
    Málaga,2022,61058.0
    Murcia,2022,49376.0
    Navarra,2022,18754.0
    Ourense,2022,5141.0
    Asturias,2022,17376.0
    Palencia,2022,2369.0
    Palmas (Las),2022,33337.0
    Pontevedra,2022,18231.0
    Salamanca,2022,6782.0
    Santa Cruz de Tenerife,2022,29479.0
    Cantabria,2022,14510.0
    Segovia,2022,2870.0
    Sevilla,2022,69376.0
    Soria,2022,1594.0
    Tarragona,2022,30719.0
    Teruel,2022,1870.0
    Toledo,2022,17229.0
    Valencia/València,2022,104227.0
    Valladolid,2022,10668.0
    Bizkaia,2022,39873.0
    Zamora,2022,2983.0
    Zaragoza,2022,24010.0
    Ceuta,2022,2181.0
    Melilla,2022,3004.0
    Araba/Álava,2021,6202.0
    Albacete,2021,6773.0
    Alicante/Alacant,2021,52437.0
    Almería,2021,17435.0
    Ávila,2021,2379.0
    Badajoz,2021,10317.0
    Balears (Illes),2021,39976.0
    Barcelona,2021,232609.0
    Burgos,2021,6847.0
    Cáceres,2021,4572.0
    Cádiz,2021,27853.0
    Castellón/Castelló,2021,14888.0
    Ciudad Real,2021,7733.0
    Córdoba,2021,13114.0
    Coruña (A),2021,22175.0
    Cuenca,2021,3437.0
    Girona,2021,28336.0
    Granada,2021,18095.0
    Guadalajara,2021,5818.0
    Gipuzkoa,2021,14397.0
    Huelva,2021,13015.0
    Huesca,2021,2997.0
