Province,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
    Albacete,38.99435,-1.85854,11936.0,11920.0,12239.0,11938.0,10920.0,9695.0,8623.0,8810.0,8781.0,8660.0,5842.0,6118.0,8429.0,8854.0
    Alicante/Alacant,38.34517,-0.48149,103129.0,99317.0,96502.0,90555.0,84295.0,77307.0,75124.0,71958.0,66880.0,64787.0,46219.0,48226.0,58434.0,66131.0
    Almería,36.83405,-2.46371,31231.0,31907.0,32091.0,29332.0,27385.0,25523.0,24405.0,22349.0,19456.0,18447.0,13537.0,15383.0,17857.0,19282.0
    Araba/Álava,42.84671,-2.67245,12593.0,11817.0,10746.0,10273.0,9847.0,8783.0,7771.0,7652.0,7424.0,7427.0,4718.0,5615.0,7348.0,7505.0
    Asturias,43.36191,-5.84939,22777.0,22737.0,23849.0,22953.0,21101.0,19168.0,17417.0,15968.0,15345.0,15231.0,11175.0,12022.0,15163.0,17377.0
    Badajoz,38.87945,-6.97065,17163.0,16397.0,16254.0,16873.0,16230.0,14680.0,13265.0,12901.0,11748.0,11672.0,8852.0,9061.0,11177.0,12451.0
    Balears (Illes),39.57119,2.64663,62197.0,66120.0,66398.0,63900.0,58040.0,52758.0,52675.0,54617.0,51940.0,51439.0,30870.0,36875.0,49248.0,48667.0
    Barcelona,41.38506,2.1734,308878.0,298104.0,295997.0,276406.0,262366.0,256330.0,249054.0,259394.0,286856.0,300012.0,186911.0,223887.0,277993.0,285242.0
    Bizkaia,43.26301,-2.93499,40738.0,40156.0,43468.0,44105.0,41578.0,36634.0,35391.0,34721.0,36946.0,38184.0,24063.0,29467.0,36848.0,34118.0
    Burgos,42.34399,-3.69691,11385.0,11225.0,10605.0,9728.0,9550.0,8170.0,7333.0,7192.0,7035.0,7113.0,4994.0,6141.0,6839.0,7273.0
    Cantabria,43.18283,-3.98784,13704.0,13968.0,15224.0,14144.0,13852.0,12266.0,12095.0,12030.0,11738.0,11851.0,9347.0,10878.0,13006.0,13112.0
    Castellón/Castelló,39.98636,-0.05132,25731.0,26350.0,26772.0,25510.0,24196.0,21765.0,20724.0,17754.0,17753.0,16011.0,10677.0,13561.0,16704.0,18626.0
    Ceuta,35.88939,-5.31979,3529.0,3080.0,3625.0,3608.0,3172.0,3289.0,2663.0,2643.0,2434.0,2257.0,1698.0,1976.0,1749.0,1695.0
    Ciudad Real,38.98613,-3.92726,12940.0,12657.0,12852.0,12132.0,10768.0,10643.0,9160.0,8591.0,7778.0,7500.0,5932.0,6931.0,8283.0,8178.0
    Coruña (A),43.36234,-8.41154,24935.0,24679.0,26351.0,25755.0,25175.0,24027.0,23006.0,21661.0,21963.0,20321.0,15859.0,20301.0,22173.0,23172.0
    Cuenca,40.07039,-2.13742,5308.0,5394.0,5160.0,5107.0,4770.0,4505.0,4273.0,3960.0,3770.0,3594.0,2560.0,2965.0,3612.0,3909.0
    Cáceres,39.47649,-6.37224,7215.0,7018.0,7461.0,7039.0,6265.0,5934.0,5477.0,4935.0,4867.0,4407.0,3422.0,3979.0,4945.0,5093.0
    Cádiz,36.51638,-6.29944,48994.0,48499.0,49230.0,46722.0,44308.0,40336.0,35444.0,34760.0,32398.0,29882.0,22399.0,24872.0,30427.0,32700.0
    Córdoba,37.88818,-4.77938,25926.0,25340.0,25785.0,24944.0,22584.0,19879.0,17725.0,18357.0,16652.0,15413.0,10786.0,11619.0,15199.0,17325.0
    Gipuzkoa,43.31283,-1.97753,17985.0,17534.0,18399.0,17959.0,17788.0,16834.0,15087.0,14379.0,14661.0,15008.0,11466.0,13179.0,16752.0,17578.0
    Girona,41.98181,2.8237,39893.0,36495.0,37357.0,35204.0,33728.0,31190.0,28564.0,29831.0,31904.0,34285.0,22009.0,26899.0,32799.0,30541.0
    Granada,37.17734,-3.59856,36243.0,34499.0,32896.0,31712.0,27955.0,24876.0,24320.0,23951.0,22128.0,20520.0,14669.0,16133.0,19396.0,21277.0
    Guadalajara,40.63333,-3.16693,7502.0,8080.0,8199.0,8178.0,7765.0,6984.0,6392.0,6096.0,6628.0,6036.0,4900.0,5281.0,6087.0,6295.0
    Huelva,37.26142,-6.94472,18071.0,20198.0,19764.0,19693.0,18636.0,16368.0,15768.0,14516.0,13370.0,12717.0,10818.0,11457.0,13664.0,14409.0
    Huesca,42.1401,-0.40889,4512.0,4384.0,4193.0,4116.0,3761.0,3397.0,3148.0,3083.0,2846.0,2922.0,2081.0,2616.0,3584.0,4118.0
    Jaén,37.77959,-3.78491,16655.0,15457.0,15240.0,14434.0,14276.0,12764.0,11766.0,10001.0,9436.0,9022.0,7133.0,7714.0,9391.0,9937.0
    León,42.59873,-5.5671,13338.0,13684.0,14154.0,13612.0,12516.0,11291.0,10675.0,9551.0,9737.0,8922.0,5984.0,5937.0,7786.0,8452.0
    Lleida,41.61759,0.62001,15882.0,15765.0,16490.0,16256.0,13981.0,13353.0,11614.0,11246.0,11971.0,11320.0,8453.0,10693.0,12610.0,11717.0
    Lugo,43.00994,-7.55601,5374.0,5807.0,6200.0,6175.0,5797.0,5400.0,4668.0,4520.0,4457.0,4293.0,3009.0,3176.0,3562.0,4725.0
    Madrid,40.41678,-3.70379,360993.0,351718.0,355822.0,340053.0,320128.0,307106.0,311293.0,306077.0,299502.0,301638.0,197853.0,223415.0,265078.0,263055.0
