Province,year,Violent assault,Robberies with violence in public places,Robberies with violence and intimidation
    Araba/Álava,2023.0,1386.0,82.0,114.0
    Albacete,2023.0,1638.0,120.0,211.0
    Alicante/Alacant,2023.0,11416.0,1161.0,1997.0
    Almería,2023.0,4343.0,397.0,657.0
    Ávila,2023.0,722.0,10.0,26.0
    Badajoz,2023.0,2516.0,107.0,231.0
    Balears (Illes),2023.0,10159.0,994.0,1519.0
    Barcelona,2023.0,16470.0,17358.0,22792.0
    Burgos,2023.0,1393.0,113.0,183.0
    Cáceres,2023.0,1271.0,40.0,81.0
    Cádiz,2023.0,7356.0,559.0,876.0
    Castellón/Castelló,2023.0,3231.0,233.0,456.0
    Ciudad Real,2023.0,1903.0,107.0,191.0
    Córdoba,2023.0,3511.0,260.0,414.0
    Coruña (A),2023.0,4021.0,310.0,552.0
    Cuenca,2023.0,886.0,17.0,49.0
    Girona,2023.0,2915.0,636.0,1054.0
    Granada,2023.0,4046.0,381.0,632.0
    Guadalajara,2023.0,1190.0,86.0,131.0
    Gipuzkoa,2023.0,2918.0,322.0,489.0
    Huelva,2023.0,2954.0,181.0,337.0
    Huesca,2023.0,899.0,38.0,84.0
    Jaén,2023.0,2152.0,109.0,207.0
    León,2023.0,1632.0,113.0,187.0
    Lleida,2023.0,1480.0,226.0,395.0
    Rioja (La),2023.0,1490.0,88.0,150.0
    Lugo,2023.0,1140.0,39.0,67.0
    Madrid,2023.0,34880.0,8252.0,12015.0
    Málaga,2023.0,10996.0,1208.0,1914.0
    Murcia,2023.0,8520.0,1307.0,2071.0
    Navarra,2023.0,3028.0,346.0,467.0
    Ourense,2023.0,1123.0,53.0,101.0
    Asturias,2023.0,4185.0,216.0,424.0
    Palencia,2023.0,671.0,26.0,43.0
    Palmas (Las),2023.0,8449.0,585.0,996.0
    Pontevedra,2023.0,3697.0,150.0,329.0
    Salamanca,2023.0,1073.0,71.0,124.0
    Santa Cruz de Tenerife,2023.0,6761.0,521.0,862.0
    Cantabria,2023.0,2738.0,129.0,255.0
    Segovia,2023.0,596.0,17.0,31.0
    Sevilla,2023.0,10278.0,1933.0,2639.0
    Soria,2023.0,369.0,12.0,21.0
    Tarragona,2023.0,3076.0,730.0,1180.0
    Teruel,2023.0,432.0,6.0,13.0
    Toledo,2023.0,3112.0,182.0,344.0
    Valencia/València,2023.0,14280.0,2418.0,3717.0
    Valladolid,2023.0,1958.0,86.0,182.0
    Bizkaia,2023.0,4411.0,1115.0,1504.0
    Zamora,2023.0,596.0,10.0,20.0
    Zaragoza,2023.0,4740.0,658.0,979.0
    Ceuta,2023.0,644.0,62.0,84.0
    Melilla,2023.0,923.0,86.0,119.0
    Araba/Álava,2022.0,1269.0,74.0,114.0
    Albacete,2022.0,1638.0,123.0,204.0
    Alicante/Alacant,2022.0,10426.0,861.0,1582.0
    Almería,2022.0,4067.0,423.0,677.0
    Ávila,2022.0,632.0,10.0,25.0
    Badajoz,2022.0,2180.0,98.0,205.0
    Balears (Illes),2022.0,9288.0,811.0,1272.0
    Barcelona,2022.0,16001.0,16509.0,22457.0
    Burgos,2022.0,1347.0,94.0,162.0
    Cáceres,2022.0,1124.0,56.0,91.0
    Cádiz,2022.0,6745.0,527.0,824.0
    Castellón/Castelló,2022.0,2879.0,190.0,409.0
    Ciudad Real,2022.0,1892.0,128.0,200.0
    Córdoba,2022.0,3119.0,227.0,364.0
    Coruña (A),2022.0,3833.0,241.0,458.0
    Cuenca,2022.0,785.0,26.0,47.0
    Girona,2022.0,2941.0,589.0,1012.0
    Granada,2022.0,3739.0,439.0,682.0
    Guadalajara,2022.0,1115.0,105.0,161.0
    Gipuzkoa,2022.0,2723.0,268.0,399.0
    Huelva,2022.0,2932.0,195.0,359.0
    Huesca,2022.0,802.0,21.0,80.0
    Jaén,2022.0,2214.0,130.0,232.0
    León,2022.0,1489.0,102.0,183.0
    Lleida,2022.0,1477.0,307.0,479.0
    Rioja (La),2022.0,1391.0,69.0,121.0
    Lugo,2022.0,948.0,59.0,86.0
    Madrid,2022.0,33243.0,8560.0,12626.0
    Málaga,2022.0,9908.0,1139.0,1742.0
    Murcia,2022.0,7590.0,1293.0,1999.0
    Navarra,2022.0,3098.0,303.0,422.0
    Ourense,2022.0,948.0,71.0,114.0
    Asturias,2022.0,3895.0,212.0,392.0
    Palencia,2022.0,574.0,26.0,44.0
    Palmas (Las),2022.0,7697.0,510.0,881.0
    Pontevedra,2022.0,3488.0,158.0,305.0
    Salamanca,2022.0,1042.0,43.0,95.0
    Santa Cruz de Tenerife,2022.0,5904.0,438.0,734.0
    Cantabria,2022.0,2463.0,109.0,242.0
    Segovia,2022.0,607.0,13.0,25.0
    Sevilla,2022.0,9870.0,1763.0,2455.0
    Soria,2022.0,406.0,5.0,7.0
    Tarragona,2022.0,2761.0,685.0,1101.0
    Teruel,2022.0,444.0,11.0,18.0
    Toledo,2022.0,2958.0,152.0,287.0
    Valencia/València,2022.0,14011.0,2481.0,3672.0
    Valladolid,2022.0,1805.0,68.0,143.0
    Bizkaia,2022.0,4338.0,1272.0,1688.0
    Zamora,2022.0,571.0,13.0,26.0
    Zaragoza,2022.0,4351.0,811.0,1097.0
    Ceuta,2022.0,738.0,75.0,107.0
    Melilla,2022.0,926.0,96.0,121.0
    Araba/Álava,2021.0,1027.0,81.0,120.0
    Albacete,2021.0,1316.0,92.0,176.0
