
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    5.2.-Robos con fuerza en las cosas,272638.0,265901.0,229137.0,219091.0,298098.0,302043.0,301734.0,318164.0,322705.0,344875.0,381777.0,405939.0,414961.0,443772.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,104988.0,101084.0,87774.0,54633.0,108637.0,102474.0,102988.0,104274.0,100021.0,106174.0,123355.0,139483.0,153259.0,141674.0,
    5.2.2.-Robos con fuerza en viviendas,84721.0,86515.0,75501.0,72380.0,98326.0,107166.0,105095.0,113299.0,115302.0,120783.0,127444.0,126425.0,100780.0,111656.0,
    5.2.3.-Robos con fuerza en establecimientos,35072.0,31552.0,27198.0,31237.0,32363.0,33129.0,35059.0,37619.0,35959.0,37962.0,39940.0,41559.0,41250.0,48958.0,
    5.3.-Robos con violencia o intimidación,64711.0,63392.0,53073.0,45263.0,65874.0,60295.0,61763.0,62952.0,64581.0,70855.0,86034.0,96607.0,87718.0,84411.0,
    5.3.1.-Robos con violencia en vía pública,44406.0,43100.0,35726.0,30162.0,25916.0,24681.0,27561.0,28900.0,28949.0,31830.0,38975.0,45144.0,38831.0,42238.0,
    5.3.2.-Robos con violencia en viviendas,3844.0,3669.0,3477.0,3208.0,3223.0,3233.0,3389.0,3521.0,3929.0,4697.0,6306.0,6912.0,5450.0,4950.0,
    5.3.3.-Robos con violencia en establecimientos,8238.0,8210.0,6663.0,6138.0,5609.0,5355.0,5383.0,5174.0,5168.0,5489.0,6747.0,6822.0,6458.0,7772.0,
Araba/Álava,
    5.2.-Robos con fuerza en las cosas,1099.0,1260.0,892.0,755.0,1367.0,1198.0,1252.0,1206.0,1518.0,1879.0,2120.0,2184.0,2574.0,3271.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,8.0,5.0,4.0,6.0,9.0,4.0,2.0,9.0,4.0,8.0,9.0,5.0,12.0,11.0,
    5.2.2.-Robos con fuerza en viviendas,434.0,568.0,354.0,264.0,558.0,492.0,513.0,351.0,486.0,621.0,635.0,618.0,497.0,840.0,
    5.2.3.-Robos con fuerza en establecimientos,178.0,185.0,189.0,180.0,262.0,197.0,236.0,281.0,271.0,346.0,341.0,280.0,320.0,300.0,
    5.3.-Robos con violencia o intimidación,114.0,114.0,120.0,103.0,141.0,180.0,144.0,198.0,205.0,233.0,262.0,422.0,506.0,432.0,
    5.3.1.-Robos con violencia en vía pública,82.0,74.0,81.0,64.0,97.0,118.0,93.0,141.0,153.0,161.0,164.0,322.0,342.0,308.0,
    5.3.2.-Robos con violencia en viviendas,6.0,5.0,10.0,6.0,8.0,15.0,14.0,11.0,13.0,13.0,28.0,36.0,74.0,28.0,
    5.3.3.-Robos con violencia en establecimientos,14.0,18.0,20.0,26.0,22.0,30.0,27.0,34.0,24.0,32.0,50.0,37.0,62.0,67.0,
Albacete,
